ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,
14232,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-26959,19670,340,,,Charcoal,Charcoal,"Sq. A, spit 10, SU 2",c. 45-50,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,19670,,
14233,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-26960,21980,310,,,Charcoal,Charcoal,"Sq. A, XU 12, SU 3",c. 55-60,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,21980,,
14234,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-26962,22370,470,,,Charcoal,Charcoal,"Sq. A, XU 15 and 16, SU 4",c. 70-78,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,22370,,
14235,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42995,22650,200,,,Charcoal,Charcoal,"Sq. B, XU 30, 31, 32. SU 3",62-69,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,22650,,
14236,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42996,24210,730,,,Charcoal,Charcoal,"Sq. B, XU 44, 45, 46, SU 5",90-99,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a; Cosgrove, 1999","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample does date the lowest appearance of Darwin glass.",c14,,24210,,
14237,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42065,26710,210,,,Charcoal,Charcoal,"Sq. B, XU 53, SU 5",114-119,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,26710,,
14238,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42997,26830,1240,,,Charcoal,Charcoal,"Sq. B, XU 50, 51, 52, SU 5",106-114,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,26830,,
14239,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-46872/ETH-8508,27160,250,,,Charcoal,Charcoal,"Sq. B, XU 56 and Sq. A, XU 10, SU 6",126-134,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a cit. Gillespie et al., 2012","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions.",c14,,27160,,
14240,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42059/ETH-8501,30210,300,,,Charcoal,Charcoal,"Sq. A, XU 16, SU 6",153-156,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a; Gillespie et al., 2012","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions.",c14,,30210,,
14241,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,OZF-416,30610,350,-20.26,,Bone (Vombatus ursinus),Bone,,,Radiocarbon,,Terrestrial,Closed,U,"Cosgrove et al., 2010 cit. Gillespie et al., 2012","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions.",c14,,30610,,
14242,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-46873/ETH-8509,31610,370,,,Charcoal,Charcoal,"Sq. B, XU 58, 59 and Sq. A, XU 13, SU 6",142-150,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a; Gillespie et al., 2012","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions.",c14,,31610,,
14243,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,OZF-415,31660,250,-21.75,,Bone (Macropus rufogriseus),Bone,,,Radiocarbon,,Terrestrial,Closed,U,"Cosgrove et al., 2010 cit. Gillespie et al., 2012","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions.",c14,,31660,,
14244,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,ANUA-11710/143B,33170,670,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a cit. Gillespie et al., 2012; Cosgrove et al. 2010","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions. This date comes from Gillespie et al. (2012) but is not presented in Allen 1996a.  It was undertaken as part of a discussion on human-megafauna interactions by Cosgrove et al. (2010). It is also referenced in several areas as ANU-11710/143B.",c14,,33170,,
14245,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42122B/ETH-7665B,34790,510,,,Charcoal,Charcoal,"Sq. A, XU 19, SU 7",162-170,Radiocarbon,,Terrestrial,Closed,Y,"Allen, 1996a; Gillespie et al., 2012","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication. This sample is used by Gillespie et al (2012) in discussions of human/megafauna interactions.",c14,,34790,,
14246,Tasmanian West,145.94,-42.49,Warreen Cave (TAS #3786),Rockshelter,Beta-42122A/ETH-7665A,">32,500",,,,Charcoal,Charcoal,"Sq. A, XU 19, SU 7",162-170,Radiocarbon,,Unusuable,Closed,,"Allen, 1996a","A collapsed rockshelter located in the Upper Maxwell River valley on the Lancelot Rivulet, western Tasmania. It is situated in a dolomite bluff, c. 30 m above the valley floor. Originally excavated in 1986 during some early reconnaissance work by Parks and Wildlife Servce, subsequently re-excavated in 1990 as part of the Southern Forests Archaeological Project. The paper suggests some difficulty in correlating the two different excavations (and hence some of the approximation in depth of dates, etc, included here). The shelter revealed two main areas of deposit divided by roof fall; originally it would have formed an 80 sq. m floor; the collapse is believed to have led to abandonment of the shelter. Excavations of two contigous 50 x 50 cm test pits (A and B) were undertaken in the main chamber, with a third (C) occurring in the collapsed part of the shelter to identify ante terminus. Seven stratigraphic units were identified in the excavations: SU 7 was basically sterile; SU 5 and 6 contained artefactual material, as well as extensive limestone boulders, and was dated to c. 24-30 ka; SU 3 and 3 were both rich bone beds (of human origin) and were dated to c. 24-21ka; SU 1 and 2 retained little bone, but numerous hearths and extensive artefactual remains (some suggestion bone was used as fuel, since it was often burnt) and dated to c. 19-16 ka. Detailed analysis of the faunal and lithics remains were not available at the time of publication.",c14,,,,
14247,Victoria Bonaparte,128.9,-15.9,Canyon,Rockshelter,SUA-58,680,75,,,Charcoal,Charcoal,,60,Radiocarbon,,Terrestrial,Closed,Y,"Gillespie & Temple, 1973; Dortch, 1977; Veth, 1995; Ward et al., 2006","Site excavated by CE Dortch. Sample taken in association with 'stone industrial assemblage' composed of thick chunky scrapers, notched flakes, atypical points and blades. Ward et al. (2006) indicates that this is the basal date of the site.",c14,,680,,
14248,Victoria Bonaparte,131.44,-15.61,Delamere 3,Rockshelter,,380,60,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,U,"David, 1990 cit. Watchman et al., 2000; McNiven et al. (1992) cit. David et al. 1994","Oldest radiocarbon determination from the site, but is not considered basal (charcoal being absent from lower deposits).",c14,,380,,
14249,Victoria Bonaparte,131.34,-15.13,Garnawala 1,Rockshelter,Beta-67301,690,100,,,Charcoal,Charcoal,"SU 2, unit 8",,Radiocarbon,,Terrestrial,Closed,U,David et al 1995,"David et al notes that artefact concentrations significantly increase within SU1 - 2, while SU3 and 4 is low. A collapsing rockshelter roof is thought to have occurred between SU 3 and 4.",c14,,690,,
14250,Victoria Bonaparte,131.34,-15.13,Garnawala 1,Rockshelter,Wk-1763,860,65,,,Charcoal,Charcoal,Base of SU3,,Radiocarbon,,Terrestrial,Closed,U,"David et al 1994, 1995","David et al notes that artefact concentrations significantly increase within SU1 - 2, while SU3 and 4 is low. A collapsing rockshelter roof is thought to have occurred between SU 3 and 4.",c14,,860,,
14251,Victoria Bonaparte,131.34,-15.13,Garnawala 1,Rockshelter,"R 11992, NZA-1323",939,91,,,Charcoal,Charcoal,SU4,,Radiocarbon,,Terrestrial,Closed,U,"David et al 1994, 1995","David et al notes that artefact concentrations significantly increase within SU1 - 2, while SU3 and 4 is low. A collapsing rockshelter roof is thought to have occurred between SU 3 and 4.",c14,,939,,
14252,Victoria Bonaparte,131.34,-15.13,Garnawala 1,Rockshelter,Wk-1764,5240,70,,,Charcoal,Charcoal,SU4,,Radiocarbon,,Terrestrial,Closed,U,"David et al 1994, 1995","David et al notes that artefact concentrations significantly increase within SU1 - 2, while SU3 and 4 is low. A collapsing rockshelter roof is thought to have occurred between SU 3 and 4.",c14,,5240,Information within this entry has been inferred by authors - see Notes,
14253,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,Wk-9250,896,66,,,Charcoal,Charcoal,"Sq. Q27, spit 12, layer IV",40.7,Radiocarbon,,Unusuable,Closed,N,"Clarkson, 2007","Clarkson (2007) suggests that the AMS dates are erroneus due to small Charcoal particles being moved through the profile. Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,Date is considered erroneous - see Notes,896,,
14254,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,Wk-9248,1640,90,,,Charcoal,Charcoal,"Sq. Q27, spit 9, layer IV",19.4,Radiocarbon,,Terrestrial,Closed,U,"Clarkson, 2007","Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,,1640,,
14255,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,Wk-9249,1879,131,,,Charcoal,Charcoal,"Sq. Q27, spit 11, layer IV",24.8,Radiocarbon,,Terrestrial,Closed,U,"Clarkson, 2007","Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,,1879,,
14256,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,OZD-434,2080,60,,,Charcoal,Charcoal,"Sq. Q28, spit 25, layer IV",106.6,Radiocarbon,,Unusuable,Closed,N,"Clarkson, 2007","Clarkson (2007) suggests that the AMS dates are erroneus due to small Charcoal particles being moved through the profile. Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,Date is considered erroneous - see Notes,2080,,
14257,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,ANU-11597,2160,60,,,Charcoal,Charcoal,"Sq. Q28, spit 7, layer IV",17.8,Radiocarbon,,Terrestrial,Closed,U,"Clarkson, 2007","Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,,2160,,
14258,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,OZD-431,2180,80,,,Charcoal,Charcoal,"Sq. Q28, spit 15, layer IV",48,Radiocarbon,,Unusuable,Closed,N,"Clarkson, 2007","Clarkson (2007) suggests that the AMS dates are erroneus due to small Charcoal particles being moved through the profile. Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,Date is considered erroneous - see Notes,2180,,
14259,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,OZD-429,2250,50,,,Charcoal,Charcoal,"Sq. Q28, spit 6, layer III",15,Radiocarbon,,Unusuable,Closed,N,"Clarkson, 2007","Clarkson (2007) suggests that the AMS dates are erroneus due to small Charcoal particles being moved through the profile. Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,Date is considered erroneous - see Notes,2250,,
14260,Victoria Bonaparte,131.34,-15.13,Garnwala 2,Rockshelter,Wk-9247,2360,50,,,Charcoal,Charcoal,"Sq. Q27, spit 7, layer IV",11.4,Radiocarbon,,Terrestrial,Closed,U,"Clarkson, 2007","Clarkson (2007) states that artefact peaks occur at Spit 9 and 19, with the first points appearing at Spit 12. He goes onto to state three distinct phases can be identified layers I and II are <200 years, layer III is between 200 and 2, 920 C14 BP, and layer IV is >2,920 - >13,000 C14 BP.",c14,,2360,,
